1,[PAD]
0,[GRP]
2,tr|A0A6J2GAC7|A0A6J2GAC7_9PASS
3,tr|A0A6J2HCK1|A0A6J2HCK1_9PASS
4,tr|A0A6J2HEH0|A0A6J2HEH0_9PASS
5,tr|A0A6J2IY19|A0A6J2IY19_9PASS
6,tr|A0A6J2G0E2|A0A6J2G0E2_9PASS
7,tr|A0A6J2G0Z6|A0A6J2G0Z6_9PASS
8,tr|A0A6J2GFW7|A0A6J2GFW7_9PASS
9,tr|A0A6J2H0F4|A0A6J2H0F4_9PASS
10,tr|A0A6J2H0Y9|A0A6J2H0Y9_9PASS
11,tr|A0A6J2HHG9|A0A6J2HHG9_9PASS
12,tr|A0A6J2HHY7|A0A6J2HHY7_9PASS
13,tr|A0A6J2HL81|A0A6J2HL81_9PASS
14,tr|A0A6J2HT08|A0A6J2HT08_9PASS
15,tr|A0A6J2HWS8|A0A6J2HWS8_9PASS
16,tr|A0A6J2I7W1|A0A6J2I7W1_9PASS
17,tr|A0A6J2IP45|A0A6J2IP45_9PASS
18,tr|A0A6J2IP88|A0A6J2IP88_9PASS
19,tr|A0A6J2IUJ3|A0A6J2IUJ3_9PASS
20,tr|A0A6J2J631|A0A6J2J631_9PASS
21,tr|A0A7R5K680|A0A7R5K680_9PASS
22,tr|A0A7R5KEI5|A0A7R5KEI5_9PASS
23,tr|A0A7R5L423|A0A7R5L423_9PASS
24,tr|A0A6J2FR05|A0A6J2FR05_9PASS
25,tr|A0A6J2FR59|A0A6J2FR59_9PASS
26,tr|A0A6J2FRK1|A0A6J2FRK1_9PASS
27,tr|A0A6J2FRN8|A0A6J2FRN8_9PASS
28,tr|A0A6J2FRZ0|A0A6J2FRZ0_9PASS
29,tr|A0A6J2FSR0|A0A6J2FSR0_9PASS
30,tr|A0A6J2FSR5|A0A6J2FSR5_9PASS
31,tr|A0A6J2FTL8|A0A6J2FTL8_9PASS
32,tr|A0A6J2FTN1|A0A6J2FTN1_9PASS
33,tr|A0A6J2FTN8|A0A6J2FTN8_9PASS
34,tr|A0A6J2FTR4|A0A6J2FTR4_9PASS
35,tr|A0A6J2FUB7|A0A6J2FUB7_9PASS
36,tr|A0A6J2FVY9|A0A6J2FVY9_9PASS
37,tr|A0A6J2FWZ8|A0A6J2FWZ8_9PASS
38,tr|A0A6J2FXP0|A0A6J2FXP0_9PASS
39,tr|A0A6J2G080|A0A6J2G080_9PASS
40,tr|A0A6J2G094|A0A6J2G094_9PASS
41,tr|A0A6J2G099|A0A6J2G099_9PASS
42,tr|A0A6J2G0D1|A0A6J2G0D1_9PASS
43,tr|A0A6J2G0D7|A0A6J2G0D7_9PASS
44,tr|A0A6J2G0E3|A0A6J2G0E3_9PASS
45,tr|A0A6J2G0E5|A0A6J2G0E5_9PASS
46,tr|A0A6J2G0E8|A0A6J2G0E8_9PASS
47,tr|A0A6J2G0F1|A0A6J2G0F1_9PASS
48,tr|A0A6J2G0F7|A0A6J2G0F7_9PASS
49,tr|A0A6J2G0G2|A0A6J2G0G2_9PASS
50,tr|A0A6J2G0G7|A0A6J2G0G7_9PASS
51,tr|A0A6J2G0H5|A0A6J2G0H5_9PASS
52,tr|A0A6J2G0K6|A0A6J2G0K6_9PASS
53,tr|A0A6J2G0L0|A0A6J2G0L0_9PASS
54,tr|A0A6J2G0L4|A0A6J2G0L4_9PASS
55,tr|A0A6J2G0N3|A0A6J2G0N3_9PASS
56,tr|A0A6J2G0P0|A0A6J2G0P0_9PASS
57,tr|A0A6J2G0R6|A0A6J2G0R6_9PASS
58,tr|A0A6J2G0S2|A0A6J2G0S2_9PASS
59,tr|A0A6J2G0S3|A0A6J2G0S3_9PASS
60,tr|A0A6J2G0S7|A0A6J2G0S7_9PASS
61,tr|A0A6J2G0T4|A0A6J2G0T4_9PASS
62,tr|A0A6J2G0U1|A0A6J2G0U1_9PASS
63,tr|A0A6J2G0U4|A0A6J2G0U4_9PASS
64,tr|A0A6J2G0V2|A0A6J2G0V2_9PASS
65,tr|A0A6J2G107|A0A6J2G107_9PASS
66,tr|A0A6J2G114|A0A6J2G114_9PASS
67,tr|A0A6J2G119|A0A6J2G119_9PASS
68,tr|A0A6J2G122|A0A6J2G122_9PASS
69,tr|A0A6J2G1U3|A0A6J2G1U3_9PASS
70,tr|A0A6J2G1V1|A0A6J2G1V1_9PASS
71,tr|A0A6J2G1Z2|A0A6J2G1Z2_9PASS
72,tr|A0A6J2G238|A0A6J2G238_9PASS
73,tr|A0A6J2G283|A0A6J2G283_9PASS
74,tr|A0A6J2G2B5|A0A6J2G2B5_9PASS
75,tr|A0A6J2G2C9|A0A6J2G2C9_9PASS
76,tr|A0A6J2G2K6|A0A6J2G2K6_9PASS
77,tr|A0A6J2G2T3|A0A6J2G2T3_9PASS
78,tr|A0A6J2G3F4|A0A6J2G3F4_9PASS
79,tr|A0A6J2G3I4|A0A6J2G3I4_9PASS
80,tr|A0A6J2G3I9|A0A6J2G3I9_9PASS
81,tr|A0A6J2G3J0|A0A6J2G3J0_9PASS
82,tr|A0A6J2G3R1|A0A6J2G3R1_9PASS
83,tr|A0A6J2G3U0|A0A6J2G3U0_9PASS
84,tr|A0A6J2G454|A0A6J2G454_9PASS
85,tr|A0A6J2G460|A0A6J2G460_9PASS
86,tr|A0A6J2G4G5|A0A6J2G4G5_9PASS
87,tr|A0A6J2G5E1|A0A6J2G5E1_9PASS
88,tr|A0A6J2G5M7|A0A6J2G5M7_9PASS
89,tr|A0A6J2G5U4|A0A6J2G5U4_9PASS
90,tr|A0A6J2G6H9|A0A6J2G6H9_9PASS
91,tr|A0A6J2G6I4|A0A6J2G6I4_9PASS
92,tr|A0A6J2G6T4|A0A6J2G6T4_9PASS
93,tr|A0A6J2G7G9|A0A6J2G7G9_9PASS
94,tr|A0A6J2G7I5|A0A6J2G7I5_9PASS
